scheme_name,scheme_link,details,benefits,eligibility,application_process,documents_required,error
Artist Honor (Gaurav Award),https://www.myscheme.gov.in/schemes/asgp,"The “Artist Honor (Gaurav Award)” scheme is implemented by the Gujarat State Lalit Kala Academy under the Sports, Youth and Culture Activities Department, Government of Gujarat. The scheme aims to recognize and honor artists who have made a lifetime contribution in the field of fine arts, specifically in painting, sculpture, and graphic arts, and have achieved outstanding accomplishments.
Every year, a total of nine (9) artists are honored under this scheme, three in painting, three in sculpture, and three in graphic arts with the Gaurav Award. This award has been conferred annually since 1964-65.","Award Details:
Cash prize of ₹51,000/- per artist.
Copper plate, citation, and shawl presented during the award ceremony.
Exhibition of artworks held for 5–7 days at Ravishankar Raval Kala Bhavan, Ahmedabad.
Catalogue publication of Gaurav Award-winning artists and their art.
Number of Awards:
Total of 9 artists are honored every year.
3 in painting, 3 in sculpture, and 3 in graphic arts.","The artist must be a resident of the State of Gujarat.
The artist must be associated with the field of fine arts, specifically in Painting, Sculpture or Graphic Arts.
The artist must have made a lifetime contribution in their respective field.
The artist should have achieved outstanding accomplishments or the highest level of recognition in their art form.
The applicant must be active in the art community and have a recognized body of work.","Offline
Application Process: Applications are invited annually through public advertisements (daily newspapers).
Step 1: The interested applicant should visit (during office hours) the Gujarat State Lalit Kala Academy and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications.
Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attested, if required).
Step 3: Submit the duly filled and signed application form along with the documents to the Gujarat State Lalit Kala Academy. 
Post-Application Process:
Step 1: A committee reviews and shortlists applicants based on merit.
Step 2: The final selected artists are notified and invited to the award ceremony.
Step 3: Awards are distributed along with the art exhibition and catalogue release.","Proof of identity
Proof of residence
Portfolio of artworks
Passport Size Photograph
Any Other Document if Required",
Scheme to Provide Stipend to the Persons With Disabilities of the State for Poultry Training,https://www.myscheme.gov.in/schemes/spspwdpf,"The scheme ""Scheme to Provide Stipend to the Persons With Disabilities of the State for Poultry Training"" by the Agriculture and Co-operation Department, Government of Gujarat, aims to provide financial assistance and capacity building to physically disabled individuals of the state by equipping them with poultry rearing skills. Under this scheme, eligible beneficiaries receive a stipend of ₹2,000/- for participating in a 7-day training session on poultry farming conducted by the Intensive Poultry Development Unit. The initiative is designed to enhance income opportunities and livelihood development for the physically disabled population across Gujarat.","Stipend Amount: ₹2,000/- per beneficiary.","The applicant should be a resident of Gujarat.
The applicant should be a person with physical disabilities, holding a valid PH Identity Card.
The applicant should express interest in poultry rearing and be willing to attend the full 7-day training session.","Online
Registration Process:
Step 1: The applicant may visit and apply online at the I-Khedut Portal.
Step 2: Click on 'Login' from the top right-hand side, then click on ""Beneficiary Registration"" and select any one from the 'Farmer' or 'Institutional' or 'Except For the Farmer' as the Beneficiary Type.
Step 3: Select the District, Taluka, and Village, choose 'what type of account holder you are?', enter your Account Number and Name, solve the Captcha, and click 'Save and Next'.
Step 4: Enter your Mobile Number and Email address, click 'Send OTP', enter the received OTP, create and confirm a Password, solve the Captcha, and click 'Submit'.
Login Process: 
Step 1: The applicant may visit and apply online at the I-Khedut Portal.
Step 2: Click on 'Login' from the top right-hand side of the homepage. On the home page, click on ‘Schemes’ and then click on ‘Agricultural Schemes’.
Step 3: Now select the scheme, click on the ‘Apply’ button, and an application page will open.
Step 4: Click on the ""Apply New"" button and submit a new application.
Step 5: Click on the ""Update Application"" button to add corrections to the application.
Step 6: Once the application is done, confirm it.
Step 7: Take a printout of the confirmed application.
Contact Us: Click here.","Aadhaar Card.
Identity Card.
PH Identity Card.
Ration Card.",
Scholarships and Stipends,https://www.myscheme.gov.in/schemes/sasgj,"The scheme ""Scholarships and Stipends"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat, aims to promote excellence in sports by offering financial support to individuals who have represented the state at national-level events and have won medals. This initiative is designed to reduce the financial burden on athletes and to recognize their achievements at the national level, thereby motivating them to continue their athletic pursuits and strive for excellence. The scheme is implemented by the Sports Authority of Gujarat.","Scholarships: ₹2,500/- per player is awarded to athletes who have won medals at the national level.
Stipends: ₹2,000/- per player is awarded to athletes who have participated at the national level, irrespective of winning.","The applicant should be a resident of Gujarat.
The applicant should be a male.
The applicant should have participated in a national-level sports event.
The applicant should have won a medal at the national level to be eligible for the scholarship.","Online
Registration Process:
Step 1: Visit the homepage of the Sports Authority of Gujarat.
Step 2: Click on the “Registration” button on the upper-right side of the page.
Step 3: Fill in all the required details as per the form and submit it.
Application Process:
Step 1: After registration, check your registered email for login credentials.
Step 2: Select “Player” as the user type and log in using the credentials received.
Step 3: Click on the concerned scheme name and proceed with the application.","National-Level Medal Certificate (for scholarship eligibility)
Aadhar Card
Recent Passport Size Photograph
Residential Proof
Any other document as required.",
"Scheme of Awarding Eklavya Award, Sardar Patel Award and Jaidipsinhji Awardj",https://www.myscheme.gov.in/schemes/saeaspjag,"The ""Scheme of awarding Eklavya Award, Sardar Patel Award and Jaidipsinhji Award"" by the Sports, Youth, and Cultural Activities Department, Government of Gujarat aims to recognize and incentivize the outstanding achievements of sportspersons by providing financial rewards across senior and junior categories based on their performances at state, national, and international levels. The scheme is implemented by the Sports Authority of Gujarat.","Eklavya Senior Award: ₹1,00,000/-.
Eklavya Junior Award: ₹50,000/-.
Sardar Patel Senior Award: ₹50,000/-.
Sardar Patel Junior Award: ₹25,000/-.
Jaidipsinhji Senior Award: ₹20,000/-.
Jaidipsinhji Junior Award: ₹10,000/-.","The applicant should be a male
The applicant should be a resident of Gujarat.
The applicant must have made notable achievements in sports at the state, national, or international level.","Offline
﻿

Registration Process:
Step 1: Visit the homepage of the Sports Authority of Gujarat.
Step 2: Click on the “Registration” button on the upper-right side of the page.
Step 3: Fill in all the required details as per the form and submit it.
Application Process:
Step 1: After registration, check your registered email for login credentials.
Step 2: Select “Player” as the user type and log in using the credentials received.
Step 3: Click on the concerned scheme name and proceed with the application.",Domicile Certificate.,
Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland): Establishment of Small RAS Culture System Gujarat,https://www.myscheme.gov.in/schemes/pmmsyesrguj,"The scheme ""Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland) with the component of Establishment of Small RAS  (with 1 tank of minimum 100m3/tank capacity 10t/crop) culture system"" by the Department of Fisheries, Government of India, aims to increase inland fish production by promoting fish rearing in reservoirs and providing employment to individuals involved in inland fisheries activities.
Through this scheme, financial assistance is provided for setting up Small Recirculating Aquaculture System (RAS) units, enabling higher fish yield using minimal land and water resources. The scheme is implemented by the Commissioner of Fisheries of the State Governments, with 60% contribution from the Government of India and 40% from the Government of Gujarat.
﻿

Objective: 
Assistance is provided for accelerating inland fish farming activities in freshwater bodies, increasing inland fish production and boosting inland fisheries. 
Except for water bodies or ponds, in less land, less water, Biofloc with source as well, Recirculating Aquaculture System (RAS). By creating fish tanks with this method, more fish production can be obtained in less land and less water. If more beneficiaries get the benefit of the subsidy of this scheme, more fish production can be achieved with less water sources and less land.
Inland fish production capacity can be increased by the establishment of freshwater hatcheries.","Beneficiaries can receive assistance for the Establishment of Small RAS (with 1 tank of a minimum 100m3/tank capacity 10t/crop) culture system.
For the general category, the standard of assistance will be 40% of the unit cost ₹7,50,000/unit or 40% of the actual cost, whichever is less.
For women, Scheduled Caste (SC), and Scheduled Tribe (ST) categories, the standard of assistance will be 60% of the unit cost or 40% of the actual cost, whichever is less.
﻿

Mode of Disbursement: Assistance is paid through 60% contribution from the Government of India and 40% contribution from State Governments.
Validity: The benefit can be reclaimed once in a lifetime.","The applicant must be an individual, society, self-help group, association, reservoir lease holder, or private entity involved in inland fisheries activities.
The applicant must be above 18 years of age.
The applicant must have their own bank account.
The applicant must have their own private land or a minimum 10-year lease agreement for land to avail construction-related assistance on land. In case of co-owners, the consent form of co-owners must be submitted.
The applicant must have a Voter ID/Ration Card/Aadhar Card/Passport as proof of identity.
﻿

Preference/Priority/Reservation/Relaxation:
All categories (General, Women, Scheduled Caste, and Scheduled Tribe) will receive benefits under the Inland Schemes.
Scheduled Caste and Scheduled Tribe beneficiaries are required to have a Scheduled Caste/Scheduled Tribe certificate to avail benefits under the inland components.","Online
Registration Process:
Step 1: The applicant may visit and apply online at the I-Khedut Portal.
Step 2: Click on 'Login' from the top right-hand side, then click on ""Beneficiary Registration"" and select any one from the 'Farmer' or 'Institutional' or 'Except For the Farmer' as the Beneficiary Type.
Step 3: Enter the 'Company Name' and Address if you have selected 'Institutional' or 'Except For the Farmer' as the Beneficiary Type. And for all select the District, Taluka, and Village, choose 'what type of account holder you are?', enter your Account Number and Name, solve the Captcha, and click 'Save and Next'.
Step 4: Enter your Mobile Number and E-mail address, click 'Send OTP', enter the received OTP, create and confirm a Password, solve the Captcha, and click 'Submit'.
Login Process: 
Step 1: The applicant may visit and apply online at the I-Khedut Portal.
Step 2: Click on 'Login' from the top right-hand side of the homepage. On the home page, click on ‘Schemes’ and then click on ‘Agricultural Schemes’.
Step 3: Now select the scheme, click on the ‘Apply’ button, and an application page will open.
Step 4: Click on the ""Apply New"" button and submit a new application.
Step 5: Click on the ""Update Application"" button to add corrections to the application.
Step 6: Once the application is done, confirm it.
Step 7: Take a printout of the confirmed application.
﻿

Contact Us: Click here.","Voter ID/Ration Card/Aadhaar Card/Passport (as proof of identity)
Bank Account Details
Land Ownership Documents (if applicant has own private land)
Lease Agreement (minimum 10 years, if applicable)
Consent Form of Co-owners (in case of co-owned land)
Scheduled Caste/Scheduled Tribe Certificate (for Scheduled Caste and Scheduled Tribe beneficiaries)",
Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland): Establishment of New Fresh Water Fin Fish Hatchery - Gujarat,https://www.myscheme.gov.in/schemes/pmmsyenfwhguj,"The scheme ""Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland)"" with the component of the Establishment of New Fresh Water Fin Fish Hatchery, introduced by the Agriculture, Farmers Welfare and Co-operation Department, Government of Gujarat, aims provide financial assistance for various inland fisheries activities, establishment of freshwater hatcheries, and support for advanced fish farming methods are provided to individuals, societies, self-help groups, associations, reservoir leaseholders, and private entities involved in inland fisheries activities. The scheme is implemented by the Commissioner of Fisheries of the State Governments, with 60% contribution from the Government of India and 40% from the Government of Gujarat.
﻿

Objective: 
Increase fish production by rearing fish in reservoirs and provide employment to people involved in inland fisheries activities.
Assistance is provided for accelerating inland fish farming activities in freshwater bodies, increasing inland fish production and boosting inland fisheries. 
Except for water bodies or ponds, in less land, less water, Biofloc with source as well, Recirculating Aquaculture System (RAS). By creating fish tanks with this method, more fish production can be obtained on less land and less water. If more beneficiaries get the benefit of the subsidy of this scheme, more fish production can be achieved with less water sources and less land.
Inland fish production capacity can be increased by the establishment of freshwater hatcheries.","For the Establishment of New Fresh Water Fin Fish Hatchery, the unit cost of the project is ₹30,00,000/-. Assistance is provided as follows:
General category: 40% of the unit cost.
Women, Scheduled Caste (SC), and Scheduled Tribe (ST) categories: 60% of the unit cost.
Funding structure:
60% contribution from the Government of India.
40% contribution from the State Government.
﻿

Frequency of Disbursement: Once in a lifetime benefit per eligible beneficiary for this specific component.","The applicant must be an individual, society, self-help group, association, reservoir lease holder, or private entity involved in inland fisheries activities.
The applicant must be above 18 years of age.
The applicant must have their own bank account.
The applicant must have their own private land or a minimum 10-year lease agreement for land to avail construction-related assistance on land. In case of co-owners, the consent form of co-owners must be submitted.
The applicant must have a Voter ID/Ration Card/Aadhar Card/Passport as proof of identity.
﻿

Preference/Priority/Reservation/Relaxation:
All categories (General, Women, Scheduled Caste, and Scheduled Tribe) will receive benefits under the Inland Schemes.
Scheduled Caste and Scheduled Tribe beneficiaries are required to have a Scheduled Caste/Scheduled Tribe certificate to avail benefits under the inland components.","Online
Registration Process:
Step 1: The applicant may visit and apply online at the I-Khedut Portal.
Step 2: Click on 'Login' from the top right-hand side, then click on ""Beneficiary Registration"" and select any one from the 'Farmer' or 'Institutional' or 'Except For the Farmer' as the Beneficiary Type.
Step 3: Enter the 'Company Name' and Address if you have selected 'Institutional' or 'Except For the Farmer' as the Beneficiary Type. And for all select the District, Taluka, and Village, choose 'what type of account holder you are?', enter your Account Number and Name, solve the Captcha, and click 'Save and Next'.
Step 4: Enter your Mobile Number and E-mail address, click 'Send OTP', enter the received OTP, create and confirm a Password, solve the Captcha, and click 'Submit'.
﻿

Login Process: 
Step 1: The applicant may visit and apply online at the I-Khedut Portal.
Step 2: Click on 'Login' from the top right-hand side of the homepage. On the home page, click on ‘Schemes’ and then click on ‘Agricultural Schemes’.
Step 3: Now select the scheme, click on the ‘Apply’ button, and an application page will open.
Step 4: Click on the ""Apply New"" button and submit a new application.
Step 5: Click on the ""Update Application"" button to add corrections to the application.
Step 6: Once the application is done, confirm it.
Step 7: Take a printout of the confirmed application.
﻿

Contact Us: Click here.","Voter ID/Ration Card/Aadhaar Card/Passport (as proof of identity).
Bank Account Details.
Land Ownership Documents (if applicant has own private land).
Lease Agreement (minimum 10 years, if applicable).
Consent Form of Co-owners (in case of co-owned land).
Scheduled Caste/Scheduled Tribe Certificate (for Scheduled Caste and Scheduled Tribe beneficiaries).",
Taluka Level Personality Development and Yogasan Training Camp for Scheduled Caste,https://www.myscheme.gov.in/schemes/tlpdytc,"The scheme ""Taluka Level Personality Development and Yogasan Training Camp for Scheduled Caste"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat, aims to facilitate holistic personality development—physical, mental, and spiritual—among Scheduled Caste youth aged between 14 and 35 years by organizing 7-day free training camps. These camps are conducted across all 250 talukas in 41 Scheduled Caste-majority districts of Gujarat and are designed to empower 50 youth participants per taluka through structured personality enhancement and Yogasana sessions.","Personality Development: Participants undergo structured sessions for enhancing communication, confidence, discipline, and overall character.
Physical Development: Daily Yogasana training and exercises aimed at physical fitness.
Mental and Spiritual Development: Yoga and related practices to foster mental peace and spiritual well-being.","The applicant should be a resident of Gujarat.
The applicant should belong to the Scheduled Caste category.
The applicant should be between 14 and 35 years of age.","Offline
Step 1: The interested applicant should download the prescribed format of the application form.
Step 2: In the application form, provide all the mandatory details, and attach copies of all the mandatory documents (self-attested, if required).
Step 3: Submit the duly filled and signed application form along with the supporting documents to the office of the District Youth Development Officer.
Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted.",Aadhaar Card.,
State Mountaineering Reward Scheme,https://www.myscheme.gov.in/schemes/smrsguj,"The scheme ""State Mountaineering Reward Scheme"" was launched by the Sports, Youth and Cultural Activities Department, Government of Gujarat. The scheme aims to provide awards in the field of mountaineering is in place to enthusiastically engage and inspire the youth of the state towards risky and adventurous activities like summiting, mountaineering and rock climbing and to honor and commend the youth of the state who have achieved exceptional achievements in the field of mountaineering. Under the scheme, a cash award, a memento, and a certificate will be awarded to each of the adventurers of the state every year for their outstanding achievements in the field of mountaineering.","A cash award of ₹25,000/-, a memento, and a certificate will be awarded to each of the adventurers of the state every year for their outstanding achievements in the field of mountaineering.","The applicant must be a native of Gujarat.
The applicant should have climbed a height of 7,000 meters once or a height of more than 6,000 meters twice.
The climbing achievement of the applicant must be confirmed by the Director of the Indian Mountaineering Foundation (IMF).
The applicant should not be involved in any criminal activity.
*This award can also be given posthumously, for which the legal heir of the awardee will have to apply.","Offline
Step 1: Visit to official website of the Sports, Youth & Cultural Activities Department, Government of Gujarat. 
Step 2: Click on the ""Schemes"" section on the website. A list of available schemes will appear. From the list of schemes, select ""State Mountaineering Reward Scheme.""
Step 3: A new page will display the scheme details. Scroll down on this page to find and download the ""Application Form for State Mountaineering Award (Annexure-A).
Step 4: Fill out the application form completely and clearly. Ensure all correspondence details, including telephone/mobile number, are clearly mentioned.
Step 5: Gather all necessary supporting documents as listed in the Documents Required section. Submit the application form along with the supporting documents in duplicate.
Step 6: Ensure the application is submitted within the stipulated time frame. Incomplete or unclear applications will not be accepted.
Step 7: The submitted applications will be scrutinised by the State Level Selection Committee. The final selection will be made by the state-level selection committee from the received applications.","Aadhaar Card.
Address Proof.
Qualification Details.
Photographs of the Sport/Adventurous Activity.
Certificate from the Director of the Indian Mountaineering Foundation (IMF) (confirming climb of 7000 meters once or more than 6000 meters twice).
Certificate of Domicile (being a native of Gujarat).
Police Certificate (stating no involvement in criminal activity).
Application Form (in Annexure-A, in duplicate).",
Scheme to Increase Seed Replacement Rate (SRR),https://www.myscheme.gov.in/schemes/stisrr,"The ""Scheme to Increase Seed Replacement Rate (SRR)"" by the Agriculture and Co-operation Department, Government of Gujarat, aims to enhance the Seed Replacement Rate among farmers by distributing certified seeds of various agricultural crops. This initiative is supported under the centrally sponsored National Food Security Mission (NFSM) and NFSM-Oilseeds schemes. The goal is to provide access to quality seeds and promote better agricultural practices for increased yield and income.",Seed Distribution: Certified seeds are distributed to eligible farmers.,"The applicant should be a farmer.
The applicant should be residing in Gujarat.","Online
Registration Process:
Step 1: The applicant may visit and apply online at the I-Khedut Portal.
Step 2: Click on 'Login' from the top right-hand side, then click on ""Beneficiary Registration"" and select any one from the 'Farmer' or 'Institutional' or 'Except For the Farmer' as the Beneficiary Type.
Step 3: Select the District, Taluka, and Village, choose 'what type of account holder you are?', enter your Account Number and Name, solve the Captcha, and click 'Save and Next'.
Step 4: Enter your Mobile Number and Email address, click 'Send OTP', enter the received OTP, create and confirm a Password, solve the Captcha, and click 'Submit'.
Login Process: 
Step 1: The applicant may visit and apply online at the I-Khedut Portal.
Step 2: Click on 'Login' from the top right-hand side of the homepage. On the home page, click on ‘Schemes’ and then click on ‘Agricultural Schemes’.
Step 3: Now select the scheme, click on the ‘Apply’ button, and an application page will open.
Step 4: Click on the ""Apply New"" button and submit a new application.
Step 5: Click on the ""Update Application"" button to add corrections to the application.
Step 6: Once the application is done, confirm it.
Step 7: Take a printout of the confirmed application.
Contact Us: Click here.","Aadhaar Card.
7/12 Certificate.",
Promotion of Organic Farming under State Organic Policy,https://www.myscheme.gov.in/schemes/pofusop,"The scheme ""Promotion of Organic Farming under State Organic Policy"" by the Agriculture and Co-operation Department, Government of Gujarat aims to promote sustainable agricultural practices by encouraging farmers to adopt organic farming methods. The scheme provides financial support for the registration and certification processes conducted by the Gujarat Organic Products Certification Agency (GOPCA) and Agricultural and Processed Food Products Export Development Authority (APEDA)-approved agencies. It also offers input cost assistance per hectare, enabling farmers to reduce chemical usage and enhance soil health.","Organic Farming Registration and Certification Assistance (GOPCA): The scheme provides 75% at-source assistance in cost to the farmer for registration and certification when undertaken through the Gujarat Organic Products Certification Agency (GOPCA).
Organic Farming Registration, Certification, and Transportation Assistance (APEDA-approved agencies): When certification is done through APEDA-approved organic certification agencies, the scheme offers 50% assistance in registration, certification, and transportation fees. The maximum benefit for certification support is limited to ₹2,000/- per hectare.
Input Assistance for Organic Farming: Farmers are also eligible for input assistance amounting to ₹5,000/- per hectare to promote organic farming practices.","The applicant should be a farmer. 
The applicant should be a resident of Gujarat.
The applicant should be engaged in organic farming activities.","Online
Registration Process:
Step 1: The applicant may visit and apply online at the I-Khedut Portal.
Step 2: Click on 'Login' from the top right-hand side, then click on ""Beneficiary Registration"" and select any one from the 'Farmer' or 'Institutional' or 'Except For the Farmer' as the Beneficiary Type.
Step 3: Select the District, Taluka, and Village, choose 'what type of account holder you are?', enter your Account Number and Name, solve the Captcha, and click 'Save and Next'.
Step 4: Enter your Mobile Number and Email address, click 'Send OTP', enter the received OTP, create and confirm a Password, solve the Captcha, and click 'Submit'.
Login Process: 
Step 1: The applicant may visit and apply online at the I-Khedut Portal.
Step 2: Click on 'Login' from the top right-hand side of the homepage. On the home page, click on ‘Schemes’ and then click on ‘Agricultural Schemes’.
Step 3: Now select the scheme, click on the ‘Apply’ button, and an application page will open.
Step 4: Click on the ""Apply New"" button and submit a new application.
Step 5: Click on the ""Update Application"" button to add corrections to the application.
Step 6: Once the application is done, confirm it.
Step 7: Take a printout of the confirmed application.
Contact Us: Click here.","7/12 Certificate.
Aadhar Card.
Bank Pass Book/Cancelled Cheque.",
Assistance to Farmers for Mini Tractor and Power Tiller in Farm Mechanization Program,https://www.myscheme.gov.in/schemes/afmtptfm,"The scheme “Assistance to Farmers for Mini Tractor and Power Tiller in Farm Mechanization Program” by the Agriculture and Co-operation Department, Government of Gujarat, aims to improve agricultural productivity and reduce manual labor burden by providing financial assistance for the purchase of mini tractors and power tillers to farmers. The scheme offers a subsidy based on the horsepower of the machinery and the applicant's category to promote inclusive agricultural mechanization and improve efficiency in farming operations.","Mini Tractors up to 20 HP and Power Tillers above 8 BHP:
General Category Farmers: Financial assistance of ₹45,000/- or 40% of the equipment cost, whichever is less.
SC/ST Farmers: Financial assistance of ₹60,000/- or 50% of the equipment cost, whichever is less.
Power Tillers Below 8 BHP:
General Category Farmers: Financial assistance of ₹40,000/- or 40% of the equipment cost, whichever is less.
SC/ST Farmers: Financial assistance of ₹50,000/- or 50% of the equipment cost, whichever is less.","The applicant should be a farmer.
The applicant should be a resident of Gujarat.
The applicant should be engaged in agricultural practices and require mechanization support.
The applicant should intend to purchase either a mini tractor up to 20 HP, or a power tiller (either above or below 8 BHP).","Online
Registration Process:
Step 1: The applicant may visit and apply online at the I-Khedut Portal.
Step 2: Click on 'Login' from the top right-hand side, then click on ""Beneficiary Registration"" and select any one from the 'Farmer' or 'Institutional' or 'Except For the Farmer' as the Beneficiary Type.
Step 3: Select the District, Taluka, and Village, choose 'what type of account holder you are?', enter your Account Number and Name, solve the Captcha, and click 'Save and Next'.
Step 4: Enter your Mobile Number and Email address, click 'Send OTP', enter the received OTP, create and confirm a Password, solve the Captcha, and click 'Submit'.
Login Process: 
Step 1: The applicant may visit and apply online at the I-Khedut Portal.
Step 2: Click on 'Login' from the top right-hand side of the homepage. On the home page, click on ‘Schemes’ and then click on ‘Agricultural Schemes’.
Step 3: Now select the scheme, click on the ‘Apply’ button, and an application page will open.
Step 4: Click on the ""Apply New"" button and submit a new application.
Step 5: Click on the ""Update Application"" button to add corrections to the application.
Step 6: Once the application is done, confirm it.
Step 7: Take a printout of the confirmed application.
Contact Us: Click here.","7/12 Certificate.
Aadhaar Card.
Bank Pass Book/Cancelled Cheque.",
Tool Assistance Scheme for Pottery Artisans,https://www.myscheme.gov.in/schemes/taspa,"The ""Tool Assistance Scheme for Pottery Artisans"" by the Gujarat Matikam Kalakari & Rural Technology Institute, Industries and Mines Department, Government of Gujarat, aims to provide financial support to individual artisans for procuring essential tools like electric chalk and electric footmill, offering a substantial 75% subsidy on the tool cost. The scheme offers this significant subsidy, requiring a 25% beneficiary contribution, and ensures that assistance is provided solely in the form of instrumental support, rather than cash. The applicant must fulfill specific criteria, including being directly involved in pottery work, belonging to the Prajapati/Kumbhar caste or being another associated artisan, and falling within the prescribed age group of 18 to 50 years. The procurement of Tool under this scheme is managed by the Gujarat Rural Industries Marketing Federation (GRIMCO), and applications are accepted at the office of the institution as per the prescribed format.","Provision of tools such as an electric chalk and an electric footmill.
75% subsidy on the cost of the tool.
The instrument assistance is to be used solely for the purpose for which it was given and for the potter's work.
The assistance will be given only in the form of instrumental assistance and not in cash.
﻿

*The beneficiary must submit 25% of their contribution amount to the office of the institution through a demand draft in the name of 'GMK & RTI' of an authorized bank on the day disclosed by the organization.
*The applicant must use the instrument assistance only for the purpose for which it has been given and for the matter involving the potter's work.
*If the applicant misuses the assistance, the amount of tool assistance given will be recovered by the revenue organization.
*During verification by an officer of the institution, if the instrument assistance is found not to have been used for the intended purpose, the amount of the instrument assistance given will be withdrawn.
*The benefit of resource support will be available to only one person per family.
*The delivery of the tool must be checked upon receipt, as no complaint of any kind of instrument will be taken into account after delivery.","The applicant should be directly involved in the business of the Prajapati/Kumbhar caste.
The applicant should be directly involved in pottery work or pottery.
The applicant will have to give a certificate of competent authority for the purpose of doing pottery along with the application form.
The applicant can be another artisan associated with the pottery business who does pottery, provided they give a certificate of meaning along with the application form.
The applicant's age should be between 18 and 50 years.
The applicant must be the only person in their family applying for the benefit of resource support.
﻿

Post-Selection Conditions
The applicant shall have to use the instrument assistance for the purpose for which the instrument assistance has been given, only for that purpose and for the matter involving the potter's work.
The applicant must ensure the instrument assistance is used as intended; otherwise, the assistance amount will be withdrawn by the institution.","Online
Offline
Steps for New Registration
Step 1: Visit the eKutir portal. In the right pane of the landing page, click ""For New Individual Registration, click Here"".
Step 2: On the registration page, fill in all mandatory fields (marked with an asterisk): Full Name (in English), Aadhaar Card Number, Gender, Date of Birth, Mobile Number, E-mail, Password (confirm the password by typing it again). Fill in the Captcha Code, and click ""Register"".
Step 3: A confirmation pop-up will display the entered name, mobile number, and other details. If all the details are correct, click ""Confirm"" to proceed. If any information is incorrect, click ""Cancel"", make the necessary corrections, and then click ""Register"" again.
Step 4: Upon successful registration, the User ID and Password will be sent to your registered mobile number via SMS. If an email address has been provided, the credentials will also be sent via email.
﻿

Steps for Login Procedure and User Profile Update
Step 1: Visit the eKutir portal. In the right pane of the landing page (in the ""Login to Portal"" section), provide your User ID, Password, and the Captcha Code. Then click ""Login"".
Step 2: Upon first login, the user must complete the ""User Profile"" by providing personal and organisational details. All fields marked with an asterisk are mandatory. Some fields will already be pre-filled based on the information provided during registration.
*Most of these details can later be updated from the “View Profile” section, except for the fields initially filled during registration.
﻿

Steps for Scheme Application
Step 1: After logging in and completing the profile, the system displays schemes relevant to the user on the homepage. Click on the name of the scheme that you intend to apply for. You will be redirected to the online application form of the scheme. The application form is divided into multiple tabs. 
Step 2: In the form, fill in all the mandatory fields and upload all the mandatory documents in the specified format and size. For each uploaded document, the corresponding document number must be entered wherever required. Click the “Save & Next” button to proceed to the subsequent tabs. 
Step 3: Carefully review all the information provided and the documents uploaded. Make any necessary corrections. Acknowledge and agree to the terms and conditions, declaration, and privacy policy (if any) by ticking the designated checkbox.
Step 4: Clicking “Save & Next” in the last tab of the application form generates an application number, which is displayed on the screen. The applicant must record this number for future reference. If the applicant wishes to print the application, they may click the “Print Application” button.
*If you do not wish to continue with the application at that point, you may click ""Cancel"".
﻿

Application Printing and Modification
If the user wishes to print the application, they may click “Print Application.” 
If the application has been returned for revision, a “Modify” button will appear. The user can then edit the application and resubmit it.
﻿

Helpdesk/Grievance Redressal
Call 9909926280 / 9909926180.
Connect with the District Industries Centre (DIC) of your district.
﻿

Check Application Status
Visit the Application Status page Provide the Application Number of the scheme, and your Date of Birth. Then click ""View Status"".","During Application
Certificate Of Competent Authority For The Purpose Of Doing Pottery Work
Certificate Of Meaning (Required For Other Artisans Associated With Pottery Business)
Proof Of Age (To Verify Age Is Between 18 And 50 Years)
Caste Certificate (For Prajapati/Kumbhar Caste Applicants)
Proof Of Direct Involvement In Pottery Business/Work
Family Declaration (To Confirm Only One Person Per Family Is Availing Benefit)
 
During Benefit Disbursal
Demand Draft In The Name Of 'GMK & RTI' From An Authorized Bank (For 25 Percent Beneficiary Contribution)
Copy Of Receipt Of Beneficiary Contribution
For Verification (Upon Request)
Original Documents Of All Submitted Certificates (For Verification As And When Required)",
